number	name	parent	parent_name	a_p	a_p_err	e_p	e_p_err	sin_i_p	sin_i_p_err	g	g_err	h	h_err	mass	mass_err	diameter	diameter_err	inverse_diameter	inverse_diameter_err	albedo	albedo_err
3247	DiMartino	44	Nysa	2.3775	nan	0.1649	nan	0.0574	nan	0.15	nan	13.25	nan	nan	nan	14.78	0.411	0.06632	0.001840	0.055	0.0072
3275	Oberndorfer	nan	None	2.3330	nan	0.2026	nan	0.1380	nan	0.15	nan	13.40	nan	nan	nan	10.82	0.046	0.09213	0.000388	0.068	0.0037
3276	PortaCoeli	24	Themis	3.1218	nan	0.1465	nan	0.0285	nan	0.15	nan	12.48	nan	nan	nan	18.41	0.320	0.05430	0.000943	0.058	0.0075
3304	Pearce	nan	None	3.0549	nan	0.2385	nan	0.0622	nan	0.15	nan	13.58	nan	nan	nan	9.32	0.184	0.10729	0.002116	0.077	0.0115
3345	Tarkovskij	nan	None	2.4736	nan	0.2344	nan	0.2749	nan	0.15	nan	12.10	nan	nan	nan	21.64	0.078	0.04617	0.000167	0.051	0.0031
3346	Gerla	702	Alauda	3.1812	nan	0.0460	nan	0.3680	nan	0.15	nan	10.95	nan	nan	nan	34.06	0.193	0.02913	0.000165	0.055	0.0033
3423	Slouka	24	Themis	3.0510	nan	0.1381	nan	0.0261	nan	0.15	nan	12.50	nan	nan	nan	nan	nan	nan	nan	nan	nan
3432	Kobuchizawa	778	Theobalda	3.1710	nan	0.2689	nan	0.2455	nan	0.15	nan	12.08	nan	nan	nan	19.00	0.075	0.04589	0.000182	0.108	0.0120
3442	Yashin	nan	None	3.1547	nan	0.1053	nan	0.1927	nan	0.15	nan	11.73	nan	nan	nan	27.87	0.275	0.03553	0.000351	0.063	0.0024
3462	Zhouguangzhao	nan	None	2.4536	nan	0.1751	nan	0.0870	nan	0.15	nan	13.63	nan	nan	nan	nan	nan	nan	nan	nan	nan
3467	Bernheim	44	Nysa	2.4101	nan	0.1626	nan	0.0556	nan	0.15	nan	13.39	nan	nan	nan	11.51	0.191	0.08649	0.001437	0.076	0.0100
3485	Barucci	44	Nysa	2.4402	nan	0.1486	nan	0.0441	nan	0.15	nan	13.01	nan	nan	nan	15.06	0.055	0.06626	0.000242	0.057	0.0023
3495	Colchagua	24	Themis	3.1963	nan	0.1701	nan	0.0258	nan	0.15	nan	11.81	nan	nan	nan	27.61	0.113	0.03614	0.000147	0.065	0.0051
3507	Vilas	24	Themis	3.1413	nan	0.1597	nan	0.0347	nan	0.15	nan	11.55	nan	nan	nan	24.61	1.668	0.04038	0.002736	0.096	0.0185
3535	Ditte	44	Nysa	2.2992	nan	0.1856	nan	0.0416	nan	0.15	nan	14.59	nan	nan	nan	6.97	0.148	0.14175	0.003000	0.085	0.0117
